date,open,high,low,close,volume,position,s,settlement
2024-01-31,605.0,605.0,591.75,595.75,0,0,0.0,0
2024-02-01,595.25,603.0,587.0,600.5,0,0,0.0,0
2024-02-02,601.5,611.25,595.75,601.75,0,0,0.0,0
2024-02-05,600.0,601.75,586.75,591.25,0,0,0.0,0
2024-02-06,590.5,597.5,588.0,594.75,0,0,0.0,0
2024-02-07,594.75,606.75,590.75,600.5,0,0,0.0,0
2024-02-08,601.25,602.0,583.75,590.75,0,0,0.0,0
2024-02-09,591.25,605.5,588.0,597.5,0,0,0.0,0
2024-02-12,596.25,603.0,588.5,597.25,0,0,0.0,0
2024-02-13,597.0,603.5,592.25,598.25,0,0,0.0,0
2024-02-14,597.25,597.75,577.5,585.25,0,0,0.0,0
2024-02-15,585.75,585.75,565.25,565.5,0,0,0.0,0
2024-02-16,567.0,568.75,555.0,559.25,0,0,0.0,0
2024-02-20,556.75,581.75,553.5,577.5,0,0,0.0,0
2024-02-21,578.75,580.5,571.0,577.5,0,0,0.0,0
2024-02-22,576.0,594.25,574.5,579.0,0,0,0.0,0
2024-02-23,580.25,587.5,568.0,569.25,0,0,0.0,0
2024-02-26,569.75,576.25,560.0,573.75,0,0,0.0,0
2024-02-27,573.75,589.5,571.5,584.25,0,0,0.0,0
2024-02-28,584.25,585.0,571.5,575.75,0,0,0.0,0
2024-02-29,576.25,581.5,569.0,576.0,0,0,0.0,0
2024-03-01,575.0,576.75,555.5,558.5,0,0,0.0,0
2024-03-04,559.25,568.0,553.0,563.75,0,0,0.0,0
2024-03-05,563.5,565.25,546.25,551.5,0,0,0.0,0
2024-03-06,551.5,551.5,529.5,532.25,0,0,0.0,0
2024-03-07,533.25,538.75,528.0,528.75,0,0,0.0,0
2024-03-08,529.5,542.75,526.0,538.25,0,0,0.0,0
2024-03-11,539.5,550.25,523.5,547.75,0,0,0.0,0
2024-03-12,547.0,556.0,541.25,548.75,0,0,0.0,0
2024-03-13,549.25,554.0,536.75,542.75,0,0,0.0,0
2024-03-14,542.75,543.0,528.25,532.75,0,0,0.0,0
2024-03-15,532.0,537.5,526.75,529.5,0,0,0.0,0
2024-03-18,531.25,544.0,527.0,542.25,0,0,0.0,0
2024-03-19,542.75,553.75,539.0,553.5,0,0,0.0,0
2024-03-20,551.75,553.0,537.0,545.75,0,0,0.0,0
2024-03-21,546.0,552.5,540.25,548.0,0,0,0.0,0
2024-03-22,548.5,559.25,539.5,556.0,0,0,0.0,0
2024-03-25,559.0,567.0,549.5,555.5,0,0,0.0,0
2024-03-26,555.0,557.5,542.75,543.0,0,0,0.0,0
2024-03-27,543.25,549.5,538.5,547.5,0,0,0.0,0
2024-03-28,546.5,568.5,544.5,561.5,0,0,0.0,0
2024-04-01,562.0,562.75,547.25,558.0,0,0,0.0,0
2024-04-02,557.5,562.75,543.5,545.25,0,0,0.0,0
2024-04-03,545.0,559.75,540.25,555.75,0,0,0.0,0
2024-04-04,556.0,562.5,549.5,557.0,0,0,0.0,0
2024-04-05,556.0,574.75,555.0,568.25,0,0,0.0,0
2024-04-08,570.25,573.75,559.5,565.5,0,0,0.0,0
2024-04-09,563.0,564.25,553.5,557.75,0,0,0.0,0
2024-04-10,558.5,567.25,555.75,557.75,0,0,0.0,0
2024-04-11,558.0,559.75,548.25,552.0,0,0,0.0,0
2024-04-12,552.5,562.5,549.5,555.25,0,0,0.0,0
2024-04-15,569.5,570.25,560.0,567.5,0,0,0.0,0
2024-04-16,567.5,572.75,558.5,565.0,0,0,0.0,0
2024-04-17,565.0,570.0,551.0,553.25,0,0,0.0,0
2024-04-18,553.25,559.5,550.0,552.75,0,0,0.0,0
2024-04-19,553.0,574.75,552.25,567.25,0,0,0.0,0
2024-04-22,567.25,595.75,565.5,588.0,0,0,0.0,0
2024-04-23,588.0,603.5,583.5,601.75,0,0,0.0,0
2024-04-24,601.75,617.0,596.25,614.0,0,0,0.0,0
2024-04-25,614.0,623.5,612.0,620.25,0,0,0.0,0
2024-04-26,620.25,633.25,616.25,622.5,0,0,0.0,0
2024-04-29,622.5,623.5,602.5,608.0,0,0,0.0,0
2024-04-30,608.0,607.25,595.5,604.25,0,0,0.0,0
2024-05-01,604.25,608.75,593.5,599.5,0,0,0.0,0
2024-05-02,599.5,615.5,595.5,603.0,0,0,0.0,0
2024-05-03,603.25,632.5,603.0,623.0,0,0,0.0,0
2024-05-06,623.0,650.25,609.5,645.5,0,0,0.0,0
2024-05-07,645.5,653.75,636.0,643.0,0,0,0.0,0
2024-05-08,643.0,649.25,628.25,634.25,0,0,0.0,0
2024-05-09,634.25,647.5,631.5,637.25,0,0,0.0,0
2024-05-10,637.25,665.25,637.0,661.75,0,0,0.0,0
2024-05-13,661.75,694.25,654.5,686.25,0,0,0.0,0
2024-05-14,686.25,696.0,667.75,674.75,0,0,0.0,0
2024-05-15,674.75,697.0,662.25,666.75,0,0,0.0,0
2024-05-16,666.75,681.5,656.75,663.0,0,0,0.0,0
2024-05-17,663.0,676.5,650.25,650.5,0,0,0.0,0
2024-05-20,651.0,691.25,654.0,687.75,0,0,0.0,0
2024-05-21,687.75,700.75,682.0,698.25,0,0,0.0,0
2024-05-22,698.25,716.75,688.5,694.25,0,0,0.0,0
2024-05-23,694.25,702.5,682.5,700.25,0,0,0.0,0
2024-05-24,700.25,706.0,689.0,702.75,0,0,0.0,0
2024-05-28,702.25,720.0,693.75,702.5,0,0,0.0,0
2024-05-29,702.5,706.25,688.5,693.0,0,0,0.0,0
2024-05-30,693.0,693.75,673.25,680.5,0,0,0.0,0
2024-05-31,680.5,691.5,673.75,679.75,0,0,0.0,0
2024-06-03,679.75,697.75,667.5,673.0,0,0,0.0,0
2024-06-04,673.0,681.25,657.75,658.25,0,0,0.0,0
2024-06-05,658.25,664.25,642.75,645.5,0,0,0.0,0
2024-06-06,645.5,654.0,638.25,638.75,0,0,0.0,0
2024-06-07,638.75,639.5,618.25,626.5,0,0,0.0,0
2024-06-10,626.5,627.0,606.25,606.75,0,0,0.0,0
2024-06-11,606.75,633.0,605.5,625.75,0,0,0.0,0
2024-06-12,625.75,627.75,610.5,614.25,0,0,0.0,0
2024-06-13,614.25,627.25,612.5,618.75,0,0,0.0,0
2024-06-14,618.75,622.5,611.0,611.75,0,0,0.0,0
2024-06-17,611.75,610.25,590.25,590.75,0,0,0.0,0
2024-06-18,590.75,611.25,597.0,597.5,0,0,0.0,0
2024-06-20,597.5,600.25,583.25,584.0,0,0,0.0,0
2024-06-21,584.0,593.75,574.25,576.75,0,0,0.0,0
2024-06-24,576.75,579.0,564.25,571.25,0,0,0.0,0
2024-06-25,571.25,574.5,558.75,558.75,0,0,0.0,0
2024-06-26,558.75,572.5,556.75,558.75,0,0,0.0,0
2024-06-27,558.75,581.5,558.25,580.5,0,0,0.0,0
2024-06-28,580.5,586.25,566.0,575.0,0,0,0.0,0
2024-07-01,575.0,591.75,567.75,589.25,0,0,0.0,0
2024-07-02,589.25,590.25,578.5,581.75,0,0,0.0,0
2024-07-03,581.75,588.5,572.75,573.25,0,0,0.0,0
