date,station,lat,lon,temp_C,precip_mm
20100505,沈阳,41.8,123.43,13.46,52.82
20100506,沈阳,41.8,123.43,9.18,2.82
20100507,沈阳,41.8,123.43,11.7,0.13
20100508,沈阳,41.8,123.43,15.18,0.0
20100509,沈阳,41.8,123.43,11.44,13.64
20100510,沈阳,41.8,123.43,10.17,1.49
20100511,沈阳,41.8,123.43,11.26,0.19
20100512,沈阳,41.8,123.43,12.24,0.0
20100513,沈阳,41.8,123.43,15.7,0.0
20100514,沈阳,41.8,123.43,16.49,0.0
20100515,沈阳,41.8,123.43,15.89,1.86
20100516,沈阳,41.8,123.43,16.09,0.0
20100517,沈阳,41.8,123.43,13.22,10.63
20100518,沈阳,41.8,123.43,13.89,8.57
20100519,沈阳,41.8,123.43,17.18,0.31
20100520,沈阳,41.8,123.43,19.92,0.0
20100521,沈阳,41.8,123.43,19.85,0.0
20100522,沈阳,41.8,123.43,21.81,0.0
20100523,沈阳,41.8,123.43,19.33,1.25
20100524,沈阳,41.8,123.43,15.8,3.01
20100525,沈阳,41.8,123.43,19.94,0.06
20100526,沈阳,41.8,123.43,20.19,0.0
20100527,沈阳,41.8,123.43,20.92,0.0
20100528,沈阳,41.8,123.43,18.08,1.17
20100529,沈阳,41.8,123.43,16.24,6.39
20100530,沈阳,41.8,123.43,16.45,2.57
20100531,沈阳,41.8,123.43,18.1,0.01
20100601,沈阳,41.8,123.43,20.6,0.01
20100602,沈阳,41.8,123.43,21.52,0.07
20100603,沈阳,41.8,123.43,21.08,0.0
20100604,沈阳,41.8,123.43,20.83,0.0
20100605,沈阳,41.8,123.43,20.4,0.0
20100606,沈阳,41.8,123.43,21.37,0.0
20100607,沈阳,41.8,123.43,22.71,0.0
20100608,沈阳,41.8,123.43,24.14,0.0
20100609,沈阳,41.8,123.43,26.34,0.0
20100610,沈阳,41.8,123.43,26.07,0.0
20100611,沈阳,41.8,123.43,22.26,0.43
20100612,沈阳,41.8,123.43,21.09,1.09
20100613,沈阳,41.8,123.43,22.88,0.01
20100614,沈阳,41.8,123.43,21.68,1.58
20100615,沈阳,41.8,123.43,22.18,3.68
20100616,沈阳,41.8,123.43,24.51,0.1
20100617,沈阳,41.8,123.43,24.0,0.64
20100618,沈阳,41.8,123.43,24.26,1.8
20100619,沈阳,41.8,123.43,23.3,0.61
20100620,沈阳,41.8,123.43,23.51,0.07
20100621,沈阳,41.8,123.43,21.97,0.04
20100622,沈阳,41.8,123.43,20.6,5.69
20100623,沈阳,41.8,123.43,22.9,0.0
20100624,沈阳,41.8,123.43,24.49,0.0
20100625,沈阳,41.8,123.43,26.19,0.01
20100626,沈阳,41.8,123.43,27.52,1.4
20100627,沈阳,41.8,123.43,24.67,2.36
20100628,沈阳,41.8,123.43,22.41,10.24
